[2025-02-10 13:49:46] ,1,7.336,498.111,54.345,51.228,503.799,-88.466,

[2025-02-10 13:49:58] ,2,12.633,466.741,7.561,50.747,473.329,-44.284,

[2025-02-10 13:50:10] ,3,36.19,468.112,85.456,-5.546,486.671,87.725,

[2025-02-10 13:50:22] ,4,21.267,429.502,-57.45,63.976,502.464,-87.936,

[2025-02-10 13:50:37] ,1,44.138,451.919,75.231,-2.571,477.604,85.486,

[2025-02-10 13:50:45] ,2,7.716,400.93,110.072,46.968,478.861,47.862,

[2025-02-10 13:50:57] ,4,37.367,509.582,-49.853,18.388,515.251,60.871,

[2025-02-10 13:51:13] ,2,39.519,413.7,67.141,14.506,496.286,-91.534,

[2025-02-10 13:51:21] ,4,77.157,502.727,12.022,10.062,511.889,21.991,

[2025-02-10 13:51:35] ,1,45.155,485.141,-53.637,4.855,506.88,-9.8,

[2025-02-10 13:51:43] ,4,-6.283,460.743,-3.814,42.728,509.384,-62.063,

[2025-02-10 13:51:59] ,2,-9.871,482.066,-110.2,64.026,498.57,104.036,

[2025-02-10 13:52:18] ,2,65.081,422.505,107.628,33.789,456.327,0,

[2025-02-10 13:52:28] ,2,37.348,484.668,6.062,73.862,488.03,-173.884,

[2025-02-10 13:52:41] ,1,81.046,442.618,-7.696,65.72,461.146,-40.384,

[2025-02-10 13:52:50] ,1,-8.809,476.487,54.638,33.46,496.796,-3.545,

[2025-02-10 13:53:03] ,2,29.308,422.055,171.798,53.298,467.862,7.125,

[2025-02-10 13:53:17] ,1,49.937,465.489,-8.631,-12.212,466.207,-47.862,

[2025-02-10 13:53:29] ,3,-5.624,428.382,28.944,33.812,473.727,-47.141,

[2025-02-10 13:53:42] ,3,24.371,493.917,73.009,-4.833,502.2,-29.982,

[2025-02-10 13:53:56] ,4,84.539,482.098,9.293,83.682,496.796,65.045,

[2025-02-10 13:54:07] ,2,50.829,409.251,-85.878,-11.82,471.421,25.201,

[2025-02-10 13:54:18] ,1,37.612,442.487,-11.211,78.072,456.654,-57.724,

[2025-02-10 13:54:28] ,2,60.021,445.65,155.934,-11.389,488.922,73.496,

[2025-02-10 13:54:40] ,3,63.487,477.717,39.075,52.573,502.661,-12.281,

